Brand,Description,Size,Annual_Demand,PurchasePrice,Holding_Cost,EOQ,ABC_Category,Review_Frequency,Safety_Stock_Level,Inventory_Strategy
129,Grey Goose L'Orange Vodka,Liter,1,24.99,4.998,14.144964899666775,C,Quarterly,Low,"Simple control, bulk ordering"
143,Chivas Regal,Liter,1,29.59,5.918,12.99907709828787,C,Quarterly,Low,"Simple control, bulk ordering"
151,Pirassununga Cachaca 51 Rum,Liter,1,11.5,2.3000000000000003,20.851441405707476,C,Quarterly,Low,"Simple control, bulk ordering"
159,Glenmorangie Original VAP,750mL + 2/,131,27.99,5.598,152.97455579129064,B,Monthly,Medium,Moderate control
161,DeKuyper Pineapple,Liter,8,9.28,1.8559999999999999,65.65321642986129,C,Quarterly,Low,"Simple control, bulk ordering"
162,Stolichnaya Vanil,Liter,98,18.39,3.6780000000000004,163.23270418351382,C,Quarterly,Low,"Simple control, bulk ordering"
165,Gentleman Jack Gift Pack,750mL,7,20.14,4.0280000000000005,41.68735004677728,C,Quarterly,Low,"Simple control, bulk ordering"
168,Three Olives Strawberry,750mL,264,8.95,1.79,384.0391041541904,B,Monthly,Medium,Moderate control
171,Gentleman Jack,1.75L,510,36.76,7.352,263.37972438390113,A,Weekly,High,"Tight control, frequent replenishment"
173,Hornitos Reposado VAP,750mL,29,14.7,2.94,99.31739816482957,C,Quarterly,Low,"Simple control, bulk ordering"
175,1800 Anejo Tequila,750mL,72,26.8,5.36,115.90011139293837,B,Monthly,Medium,Moderate control
178,Wild Turkey Russell's RSV,750mL,149,20.76,4.152,189.43684922912283,B,Monthly,Medium,Moderate control
184,Hornitos Plata VAP,750mL,50,13.04,2.608,138.46219390542782,C,Quarterly,Low,"Simple control, bulk ordering"
187,Capt Morgan ParrotBay Pineap,Liter,12,11.53,2.306,72.13748076991605,C,Quarterly,Low,"Simple control, bulk ordering"
188,Capt Morgan Parrot Bay Mango,Liter,12,11.19,2.238,73.22520259382125,C,Quarterly,Low,"Simple control, bulk ordering"
189,Leroux Apple Schnapps,Liter,2,5.76,1.152,41.66666666666667,C,Quarterly,Low,"Simple control, bulk ordering"
190,Christian Bros Ruby Port,750mL,96,3.06,0.6120000000000001,396.0590171906697,C,Quarterly,Low,"Simple control, bulk ordering"
192,Milagro Anejo Tequila,750mL,66,27.68,5.5360000000000005,109.18775260036756,B,Monthly,Medium,Moderate control
194,Yazi Ginger Vodka,750mL,3,22.55,4.510000000000001,25.791247935424117,C,Quarterly,Low,"Simple control, bulk ordering"
199,Wisdom & Warter Cream Sherry,750mL,7,3.87,0.774,95.09956702624261,C,Quarterly,Low,"Simple control, bulk ordering"
200,Luxardo Maraschino Liqueur,750mL,38,23.43,4.686,90.05143880243331,C,Quarterly,Low,"Simple control, bulk ordering"
201,Nassua Royale Liqueur,Liter,2,15.47,3.0940000000000003,25.424641809046072,C,Quarterly,Low,"Simple control, bulk ordering"
202,Ketel One Citroen Vodka,Liter,20,22.3,4.46,66.9649530182425,C,Quarterly,Low,"Simple control, bulk ordering"
204,Smirnoff Pineapple,Liter,1,10.6,2.12,21.718612138153468,C,Quarterly,Low,"Simple control, bulk ordering"
207,Smirnoff Pomegrante,Liter,3,11.5,2.3000000000000003,36.11575592573076,C,Quarterly,Low,"Simple control, bulk ordering"
211,Cold River Gin,750mL,126,19.83,3.9659999999999997,178.24153664558418,B,Monthly,Medium,Moderate control
213,Stolichnaya Blueberi,Liter,64,17.03,3.4060000000000006,137.07797027753256,C,Quarterly,Low,"Simple control, bulk ordering"
216,Absolut Raspberri,Liter,18,15.62,3.124,75.90680990538861,C,Quarterly,Low,"Simple control, bulk ordering"
217,Absolut Vanilia,Liter,40,14.7,2.94,116.64236870396087,C,Quarterly,Low,"Simple control, bulk ordering"
222,Wray & Nephew Wh Overproof,750mL,2,15.99,3.1980000000000004,25.007816164017765,C,Quarterly,Low,"Simple control, bulk ordering"
226,DeKuyper Red Apple Schnapps,750mL,12,8.08,1.616,86.1727484432139,C,Quarterly,Low,"Simple control, bulk ordering"
233,Tullamore Dew 12 Yr Old,750mL,64,30.21,6.042000000000001,102.91996421216166,B,Monthly,Medium,Moderate control
240,Capt Morgan Tattoo,Liter,9,14.99,2.998,54.79052230288387,C,Quarterly,Low,"Simple control, bulk ordering"
247,Gran Patron Platinum Tequil,750mL,8,156.24,31.248000000000005,16.00051202457731,C,Quarterly,Low,"Simple control, bulk ordering"
248,Wild Shot Reposado Mezcal,750mL,1,39.36,7.872,11.270870433342903,C,Quarterly,Low,"Simple control, bulk ordering"
249,Massenez Creme de Cassis,750mL,6,16.29,3.258,42.914107542287454,C,Quarterly,Low,"Simple control, bulk ordering"
253,Poland Spring Vodka,Liter,479,4.6,0.9199999999999999,721.5623146430553,B,Monthly,Medium,Moderate control
254,DeKuyper Root Beer Schnapps,Liter,49,8.79,1.758,166.95083851269214,C,Quarterly,Low,"Simple control, bulk ordering"
258,Ciroc Coconut Vodka,Liter,7,24.28,4.856000000000001,37.96729712188307,C,Quarterly,Low,"Simple control, bulk ordering"
261,Svedka Citron Vodka,Liter,12,9.99,1.9980000000000002,77.49842582921285,C,Quarterly,Low,"Simple control, bulk ordering"
269,Juarez Triple Sec,Liter,238,3.17,0.634,612.6943134765995,C,Quarterly,Low,"Simple control, bulk ordering"
272,Juarez Silver Tequila,Liter,135,7.4,1.4800000000000002,302.0202248463109,C,Quarterly,Low,"Simple control, bulk ordering"
273,Sauza Extra Gold Tequila,1.75L,612,17.31,3.4619999999999997,420.4478919073786,A,Weekly,High,"Tight control, frequent replenishment"
274,Old Bushmills,Liter,11,18.56,3.7119999999999997,54.43677129446159,C,Quarterly,Low,"Simple control, bulk ordering"
276,Bushmills Black Bush,Liter,10,26.8,5.36,43.193421279068005,C,Quarterly,Low,"Simple control, bulk ordering"
278,Cazadores Reposado Tequila,Liter,4,21.96,4.392,30.178582014172843,C,Quarterly,Low,"Simple control, bulk ordering"
281,Kamora Coffee Gift Pack,750mL,45,7.14,1.428,177.51790062418158,C,Quarterly,Low,"Simple control, bulk ordering"
283,Milagro Tequila Reposado SBR,750mL,26,39.69,7.938,57.23097262641253,C,Quarterly,Low,"Simple control, bulk ordering"
284,Milagro Tequila Anejo SBR,750mL,30,53.43,10.686,52.985012659578125,C,Quarterly,Low,"Simple control, bulk ordering"
290,Aberlour A'Bunadh Sngle Malt,750mL,13,39.05,7.81,40.7986844205563,C,Quarterly,Low,"Simple control, bulk ordering"
294,Old Mexico Gold Tequila,Liter,402,6.79,1.358,544.0804757246865,B,Monthly,Medium,Moderate control
298,Old Mexico Blanco Tequila,Liter,11,6.06,1.212,95.26755791327432,C,Quarterly,Low,"Simple control, bulk ordering"
304,Ciroc Red Berry Vodka,Liter,4,24.45,4.890000000000001,28.60062779067008,C,Quarterly,Low,"Simple control, bulk ordering"
305,Crown Royal Canadian Whisky,Liter,746,22.21,4.442,409.80772113585954,A,Weekly,High,"Tight control, frequent replenishment"
308,Barsol Primero Quebranta Pso,750mL,15,15.62,3.124,69.29312008906322,C,Quarterly,Low,"Simple control, bulk ordering"
311,The Glenlivet 12 Yr Gift Pk,750mL,61,32.8,6.56,96.43018452644836,B,Monthly,Medium,Moderate control
313,Rothman & Winter Violette,750mL,13,17.45,3.49,61.032191233497244,C,Quarterly,Low,"Simple control, bulk ordering"
317,Triple Eight Vodka,750mL,1,24.23,4.846,14.365088141937361,C,Quarterly,Low,"Simple control, bulk ordering"
319,Peter Paul Bacigalupi Chard,750mL,2,25.17,5.034000000000001,19.93234484642182,C,Quarterly,Low,"Simple control, bulk ordering"
323,Tequila Rose Strawberry Gift,750mL,21,10.6,2.12,99.52718411247497,C,Quarterly,Low,"Simple control, bulk ordering"
336,Bols Genever Amsterdam,750mL,1,26.39,5.2780000000000005,13.764654253089178,C,Quarterly,Low,"Simple control, bulk ordering"
338,The Irishman Irish Whiskey,750mL,1,18.21,3.6420000000000003,16.570286951800778,C,Quarterly,Low,"Simple control, bulk ordering"
344,Punt e Mes Sweet Vermouth,750mL,57,15.74,3.148,134.56126647204843,C,Quarterly,Low,"Simple control, bulk ordering"
350,Courvoisier VS Gift Pak,750mL,27,18.1,3.6200000000000006,86.36297549246206,C,Quarterly,Low,"Simple control, bulk ordering"
354,Capt Morgan Lime Bite Rum,Liter,3,14.23,2.846,32.467076139203115,C,Quarterly,Low,"Simple control, bulk ordering"
356,Carolans Irish Cr Gift Set,750mL,52,9.12,1.8239999999999998,168.84540837649263,C,Quarterly,Low,"Simple control, bulk ordering"
361,Effen Cucumber Vodka,750mL,202,14.28,2.856,265.94791090837055,B,Monthly,Medium,Moderate control
363,4 Orange Vodka,Liter,8,17.05,3.41,48.435947969648275,C,Quarterly,Low,"Simple control, bulk ordering"
364,Ciroc Peach Vodka,200mL,5,5.83,1.1660000000000001,65.48407948137589,C,Quarterly,Low,"Simple control, bulk ordering"
366,Crown Royal w/2 Glasses,750mL,93,17.18,3.436,164.51855891713947,C,Quarterly,Low,"Simple control, bulk ordering"
369,Svedka Grape Vodka,Liter,3,10.23,2.0460000000000003,38.29197905337418,C,Quarterly,Low,"Simple control, bulk ordering"
370,Finlandia Vodka,Liter,21,10.36,2.072,100.67340828210365,C,Quarterly,Low,"Simple control, bulk ordering"
372,44* North Magic Valley Vodka,750mL,6,17.3,3.4600000000000004,41.642574923301446,C,Quarterly,Low,"Simple control, bulk ordering"
376,Aperol Liqueur,750mL,155,18.97,3.794,202.12367493287647,B,Monthly,Medium,Moderate control
377,Hendrick's Gin,Liter,12,28.35,5.670000000000001,46.00437062282361,C,Quarterly,Low,"Simple control, bulk ordering"
381,Baileys Irish Cream w/4 Glss,750mL,130,14.5,2.9000000000000004,211.72526114494826,B,Monthly,Medium,Moderate control
384,Ardbeg Corryvreckan Scotch,750mL,50,54.68,10.936,67.61697712997861,B,Monthly,Medium,Moderate control
388,Smirnoff 80 Proof,Liter,739,11.41,2.282,569.0683069273559,A,Weekly,High,"Tight control, frequent replenishment"
399,S S Pierce 99 Vodka 80 Proof,Liter,12,4.73,0.9460000000000002,112.62765836674167,C,Quarterly,Low,"Simple control, bulk ordering"
401,S S Pierce Ninety Nine Bl W,Liter,6,5.9,1.1800000000000002,71.30740328122924,C,Quarterly,Low,"Simple control, bulk ordering"
405,Jack Daniels & Coke,1.75L,3,28.45,5.69,22.961724092203255,C,Quarterly,Low,"Simple control, bulk ordering"
407,Hancock Rsv Bourbon,750mL,1,39.36,7.872,11.270870433342903,C,Quarterly,Low,"Simple control, bulk ordering"
408,Wild Turkey American Honey,750mL,806,12.97,2.5940000000000003,557.4199846807712,A,Weekly,High,"Tight control, frequent replenishment"
415,Jose Cuervo Especial,Liter,866,13.04,2.608,576.24232291973,A,Weekly,High,"Tight control, frequent replenishment"
419,Absolut Citron,Liter,242,15.99,3.1980000000000004,275.0859778041954,B,Monthly,Medium,Moderate control
426,Crystal Head Vodka,50mL,401,6.29,1.258,564.5882892931762,B,Monthly,Medium,Moderate control
427,Van Gogh Chocolate Liqueur,750mL,1,6.97,1.3940000000000001,26.783579200279007,C,Quarterly,Low,"Simple control, bulk ordering"
428,Sauza Giro Gold Tequila,Liter,134,6.83,1.366,313.2038194269992,C,Quarterly,Low,"Simple control, bulk ordering"
435,Il Tramonto Limoncello,750mL,192,12.79,2.558,273.96831853730447,B,Monthly,Medium,Moderate control
437,Rock Hills Farm Bourbon,750mL,8,37.87,7.574,32.49992382839279,C,Quarterly,Low,"Simple control, bulk ordering"
438,Licor 43 Vanilla Liqueur,750mL,471,12.77,2.5540000000000003,429.4375407548269,A,Weekly,High,"Tight control, frequent replenishment"
441,Caribou Crossing Canadian,750mL,27,37.31,7.462000000000001,60.1525800496169,C,Quarterly,Low,"Simple control, bulk ordering"
443,St Germain Liqueur,750mL,419,24.45,4.890000000000001,292.72012499082143,A,Weekly,High,"Tight control, frequent replenishment"
446,St Urbans-Hof Rsl,750mL,152,10.34,2.068,271.11061786287235,C,Quarterly,Low,"Simple control, bulk ordering"
450,Vincent Van Gogh Double Esp,750mL,158,19.52,3.904,201.17482813565377,B,Monthly,Medium,Moderate control
451,Hiram Walker Triple Sec,Liter,41,3.59,0.718,238.96247418130815,C,Quarterly,Low,"Simple control, bulk ordering"
453,Hornitos Reposado Tequila,Liter,33,21.01,4.202000000000001,88.61942869010866,C,Quarterly,Low,"Simple control, bulk ordering"
457,El Caballo Gold Tequila,Liter,5,6.66,1.332,61.26788517448398,C,Quarterly,Low,"Simple control, bulk ordering"
463,Kirk & Sweeney 12Yr Old Rum,750mL,165,24.63,4.926,183.01840592195074,B,Monthly,Medium,Moderate control
473,Ciroc Peach Vodka,Liter,28,26.55,5.3100000000000005,72.61590514377232,C,Quarterly,Low,"Simple control, bulk ordering"
482,Absolut 80 Proof,Liter,2191,14.28,2.856,875.8749127273244,A,Weekly,High,"Tight control, frequent replenishment"
485,Seagrams 7 Crown,Liter,200,10.39,2.0780000000000003,310.23602427884884,B,Monthly,Medium,Moderate control
497,Capt Morgan Spiced Rum,Liter,2339,14.7,2.94,891.9519220745684,A,Weekly,High,"Tight control, frequent replenishment"
500,Remy Martin Louis XIII,750mL,1,2290.07,458.01400000000007,1.4776127279857876,B,Monthly,Medium,Moderate control
505,Robert Sinskey Pnt Gris,750mL,1,19.6,3.9200000000000004,15.971914124998497,C,Quarterly,Low,"Simple control, bulk ordering"
508,Bacardi Superior Rum,Liter,3625,9.77,1.954,1362.0458451681484,A,Weekly,High,"Tight control, frequent replenishment"
513,Ocean Vodka,750mL,162,23.01,4.602,187.62218965128744,B,Monthly,Medium,Moderate control
515,Hirsch Selection Bourbon,750mL,86,25.36,5.072,130.21457661162634,B,Monthly,Medium,Moderate control
516,Kamora Coffee Liqueur,Liter,15,8.52,1.704,93.8233281301002,C,Quarterly,Low,"Simple control, bulk ordering"
523,Castello Del Poggio Moscato,750mL,862,7.09,1.4180000000000001,779.6784263521986,A,Weekly,High,"Tight control, frequent replenishment"
525,El Tesoro Anejo Gold Tequil,750mL,43,31.0,6.2,83.27955253822958,C,Quarterly,Low,"Simple control, bulk ordering"
529,Desert Island Iced Tea,Liter,31,5.61,1.122,166.22043650401852,C,Quarterly,Low,"Simple control, bulk ordering"
530,Smirnoff Fluffed Marshmallow,Liter,6,11.27,2.254,51.59393703675823,C,Quarterly,Low,"Simple control, bulk ordering"
536,Svedka Cherry Vodka,Liter,9,9.92,1.984,67.35198826004059,C,Quarterly,Low,"Simple control, bulk ordering"
538,Amaretto DiSaronno,375mL,1314,7.96,1.592,908.5025505864639,A,Weekly,High,"Tight control, frequent replenishment"
539,Bowman's Vodka,Liter,513,4.2,0.8400000000000001,781.4821083775915,B,Monthly,Medium,Moderate control
540,Bacardi Pineapple Fusion,50mL,1080,0.72,0.144,2738.6127875258308,C,Quarterly,Low,"Simple control, bulk ordering"
541,Juarez Gold Tequila,Liter,97,7.8,1.56,249.35815041720048,C,Quarterly,Low,"Simple control, bulk ordering"
543,Berkshire Mtn Ethereal Gin,750mL,8,22.72,4.544,41.959067914834456,C,Quarterly,Low,"Simple control, bulk ordering"
547,DeKuyper Buttershots,Liter,40,10.31,2.0620000000000003,139.27900809186337,C,Quarterly,Low,"Simple control, bulk ordering"
548,DeKuyper Amaretto,Liter,21,6.56,1.312,126.51520683686847,C,Quarterly,Low,"Simple control, bulk ordering"
549,DeKuyper Melon,Liter,10,6.42,1.284,88.25056370227598,C,Quarterly,Low,"Simple control, bulk ordering"
551,Cruzan Aged Light Rum,750mL,7,8.59,1.718,63.831851286403975,C,Quarterly,Low,"Simple control, bulk ordering"
555,Art In The Age Sage,750mL,39,21.73,4.346,94.72997932530572,C,Quarterly,Low,"Simple control, bulk ordering"
557,Bowman's Gin,Liter,1,4.84,0.968,32.14121732666125,C,Quarterly,Low,"Simple control, bulk ordering"
564,DeKuyper Blue Curacao,Liter,54,6.61,1.322,202.10690539980925,C,Quarterly,Low,"Simple control, bulk ordering"
565,Bombay Dry Gin,Liter,13,15.52,3.104,64.71587386334907,C,Quarterly,Low,"Simple control, bulk ordering"
567,Ketel One Vodka,Liter,750,20.71,4.142,425.52549385418195,A,Weekly,High,"Tight control, frequent replenishment"
576,Pastene Marsala,1.5L,3,6.92,1.3840000000000001,46.55781414331506,C,Quarterly,Low,"Simple control, bulk ordering"
585,1800 Reposado Gold Tequila,Liter,29,22.55,4.510000000000001,80.18824858196501,C,Quarterly,Low,"Simple control, bulk ordering"
586,Malibu Passion Fruit Rum,Liter,10,13.59,2.718,60.65621043723658,C,Quarterly,Low,"Simple control, bulk ordering"
587,Malibu Mango Rum,Liter,6,12.49,2.498,49.00940253900045,C,Quarterly,Low,"Simple control, bulk ordering"
589,Bols Blackberry Brandy,Liter,5,7.91,1.582,56.21882476449851,C,Quarterly,Low,"Simple control, bulk ordering"
590,Allen's Amaretto Liqueur,Liter,1,4.61,0.9220000000000002,32.93324609693921,C,Quarterly,Low,"Simple control, bulk ordering"
592,The Glenlivet Archive 21 Yr,750mL,12,127.99,25.598,21.65148087210195,C,Quarterly,Low,"Simple control, bulk ordering"
597,Baileys Irish Cream,Liter,826,21.53,4.306,437.978720901875,A,Weekly,High,"Tight control, frequent replenishment"
598,Stolichnaya Ohranj Orange,Liter,102,17.82,3.564,169.1730729741841,B,Monthly,Medium,Moderate control
599,Stolichnaya Razberi,Liter,280,17.03,3.4060000000000006,286.71914562409404,B,Monthly,Medium,Moderate control
600,McCormick Gin,Liter,34,5.21,1.042,180.63653711601867,C,Quarterly,Low,"Simple control, bulk ordering"
601,McCormick Vodka,Liter,164,5.38,1.076,390.40537506202884,C,Quarterly,Low,"Simple control, bulk ordering"
602,McCormick Blended Whiskey,Liter,84,5.36,1.072,279.9253631867321,C,Quarterly,Low,"Simple control, bulk ordering"
603,McCormick Gold Rum,Liter,2,5.03,1.006,44.58779620677098,C,Quarterly,Low,"Simple control, bulk ordering"
604,McCormick Silver Rum,Liter,41,5.14,1.028,199.7079579848792,C,Quarterly,Low,"Simple control, bulk ordering"
605,Alate Kosher Wine,750mL,13,9.67,1.9340000000000002,81.98670661788756,C,Quarterly,Low,"Simple control, bulk ordering"
607,Schmitt Sohne Funf Rsl,750mL,22,5.74,1.1480000000000001,138.43324407887755,C,Quarterly,Low,"Simple control, bulk ordering"
608,Cruzan Est Single Barrel Rum,750mL,2,23.43,4.686,20.65921691896022,C,Quarterly,Low,"Simple control, bulk ordering"
610,Moillard Pnt Nr Bourgogne,750mL,1,14.48,2.8960000000000004,18.58235365617916,C,Quarterly,Low,"Simple control, bulk ordering"
613,Beefeater 24,Liter,3,20.46,4.0920000000000005,27.076518053694116,C,Quarterly,Low,"Simple control, bulk ordering"
614,J W Dant Bourbon,1.75L,3,17.16,3.4320000000000004,29.56561979945413,C,Quarterly,Low,"Simple control, bulk ordering"
634,Cruzan Aged Light Rum,Liter,16,10.21,2.0420000000000003,88.5181079545152,C,Quarterly,Low,"Simple control, bulk ordering"
635,Sobieski Raspberry Vodka,Liter,22,7.87,1.574,118.22490573246857,C,Quarterly,Low,"Simple control, bulk ordering"
636,Bols Pomegranate Liqueur,Liter,5,6.98,1.3960000000000001,59.84698731864018,C,Quarterly,Low,"Simple control, bulk ordering"
640,Sobieski Orange Vodka,Liter,15,7.24,1.4480000000000002,101.77974269027922,C,Quarterly,Low,"Simple control, bulk ordering"
644,Amaretto DiSaronno,Liter,126,20.76,4.152,174.2033892013831,B,Monthly,Medium,Moderate control
649,Sauza Tres Generaciones Pla,750mL,48,28.67,5.734000000000001,91.49382294587696,C,Quarterly,Low,"Simple control, bulk ordering"
650,McCormick Cherry Vodka,Liter,1,5.07,1.014,31.403714651066384,C,Quarterly,Low,"Simple control, bulk ordering"
652,Frangelico Gift Pack-Candle,750mL,19,16.41,3.282,76.08648339563953,C,Quarterly,Low,"Simple control, bulk ordering"
653,Dom de Canton Ginger Liqueur,750mL,253,21.73,4.346,241.27670850919074,A,Weekly,High,"Tight control, frequent replenishment"
658,Allens Triple Sec,Liter,202,2.2,0.44000000000000006,677.5624761532393,C,Quarterly,Low,"Simple control, bulk ordering"
659,Rhum Barbancourt Estate RSV,750mL,79,23.25,4.65,130.34280690482294,B,Monthly,Medium,Moderate control
661,Red Stag by Jim Beam,750mL,638,9.99,1.9980000000000002,565.0834622596199,A,Weekly,High,"Tight control, frequent replenishment"
664,Ardbeg Uigeadail Scotch,750mL,44,54.01,10.802,63.82256462726028,B,Monthly,Medium,Moderate control
669,Robert Sinskey Merlot,750mL,45,26.84,5.368,91.5587812948095,C,Quarterly,Low,"Simple control, bulk ordering"
675,Mount Gay 1703 Old Cask Slct,750mL,11,78.73,15.746000000000002,26.43085541796251,C,Quarterly,Low,"Simple control, bulk ordering"
676,Pinnacle Whipped Vodka,750mL,811,8.65,1.7300000000000002,684.67957992599,A,Weekly,High,"Tight control, frequent replenishment"
680,Midnight Moon Strawberry,750mL,217,13.86,2.7720000000000002,279.7906865548392,B,Monthly,Medium,Moderate control
685,Caravan Cab Svgn,750mL,14,32.46,6.492000000000001,46.438134201014925,C,Quarterly,Low,"Simple control, bulk ordering"
686,Midnight Moon Cherry,750mL,105,14.95,2.99,187.3954558045293,C,Quarterly,Low,"Simple control, bulk ordering"
689,McManis Pnt Nr Cal,750mL,141,7.33,1.4660000000000002,310.12913738536207,C,Quarterly,Low,"Simple control, bulk ordering"
693,Svedka Vanilla Vodka,Liter,29,9.35,1.87,124.53120649208508,C,Quarterly,Low,"Simple control, bulk ordering"
694,Hiram Walker Creme de Cassis,Liter,26,6.23,1.2460000000000002,144.45336159384604,C,Quarterly,Low,"Simple control, bulk ordering"
700,Hiram Walker Cr de Cacao Br,Liter,14,6.33,1.266,105.15917371654103,C,Quarterly,Low,"Simple control, bulk ordering"
702,Skyy Vodka,Liter,25,11.95,2.39,102.27536871615327,C,Quarterly,Low,"Simple control, bulk ordering"
704,Van Winkle Special Rsv 12 Yr,750mL,1,47.61,9.522,10.247924365022428,C,Quarterly,Low,"Simple control, bulk ordering"
713,Capt Morgan Black Spiced Rum,Liter,5,19.11,3.822,36.16926311013095,C,Quarterly,Low,"Simple control, bulk ordering"
714,Allen's Peach Schnapps,Liter,1,4.31,0.862,34.06013516450858,C,Quarterly,Low,"Simple control, bulk ordering"
715,Hiram Walker Cr de Cacao Wh,Liter,12,6.19,1.2380000000000002,98.4533052354933,C,Quarterly,Low,"Simple control, bulk ordering"
718,Hiram Walker Mango,Liter,2,8.07,1.614,35.201667190438144,C,Quarterly,Low,"Simple control, bulk ordering"
731,Black & White Scotch,1.75L,9,20.6,4.12,46.738271463731685,C,Quarterly,Low,"Simple control, bulk ordering"
735,Orange Quattro di Amore,Liter,7,10.81,2.1620000000000004,56.90116721748599,C,Quarterly,Low,"Simple control, bulk ordering"
742,DeKuyper Spearmint Schnapps,Liter,2,10.39,2.0780000000000003,31.02360242788488,C,Quarterly,Low,"Simple control, bulk ordering"
743,Angels Envy Whiskey,750mL,143,36.5,7.300000000000001,139.96085558430403,B,Monthly,Medium,Moderate control
749,Stolichnaya Hot Vodka,750mL,6,15.14,3.0280000000000005,44.51410949932429,C,Quarterly,Low,"Simple control, bulk ordering"
751,Sobieski Espresso Vodka,Liter,28,7.51,1.502,136.5350171889064,C,Quarterly,Low,"Simple control, bulk ordering"
753,LaBelle Winery Blueberry,750mL,78,13.79,2.758,168.1706374690422,C,Quarterly,Low,"Simple control, bulk ordering"
756,Barton Long Island Iced Tea,Liter,286,5.34,1.068,517.4845525929104,C,Quarterly,Low,"Simple control, bulk ordering"
757,Jim Beam Rye,750mL,278,13.95,2.79,315.66054086776813,B,Monthly,Medium,Moderate control
758,Cointreau Liqueur,Liter,121,28.77,5.7540000000000004,145.01327351660873,B,Monthly,Medium,Moderate control
759,Bunnahabhain 12 Yr Single,750mL,96,37.0,7.4,113.89895949029987,B,Monthly,Medium,Moderate control
764,Smirnoff Blueberry Vodka,Liter,12,10.42,2.084,75.88252361140421,C,Quarterly,Low,"Simple control, bulk ordering"
775,Barton Light Rum,Liter,180,4.56,0.9119999999999999,444.2616583193193,C,Quarterly,Low,"Simple control, bulk ordering"
776,Jim Beam Black,Liter,3,18.1,3.6200000000000006,28.78765849748735,C,Quarterly,Low,"Simple control, bulk ordering"
778,Svedka Vodka,Liter,65,10.23,2.0460000000000003,178.23946241742973,C,Quarterly,Low,"Simple control, bulk ordering"
